,level_2,level_3,level_4,level_5,[LOGGING],RD81DL96_1,2,3,4
39,9.0,1.0,2.0,8.0,29628.0,12221.0,27838.0,10943.0,27072.0
40,4.0,1.0,2.0,4.0,10315.0,29516.0,16205.0,3150.0,23119.0
41,8.0,1.0,2.0,11.0,2773.0,24534.0,13783.0,3288.0,25817.0
42,1.0,1.0,2.0,1.0,13924.0,6757.0,32614.0,25959.0,19560.0
43,10.0,1.0,2.0,9.0,17139.0,13812.0,10741.0,7926.0,5367.0
44,6.0,1.0,2.0,4.0,12418.0,12931.0,13700.0,14725.0,16006.0
45,8.0,1.0,2.0,9.0,32529.0,4114.0,8723.0,13588.0,18709.0
46,3.0,1.0,2.0,2.0,7579.0,14492.0,21661.0,29086.0,3999.0
47,8.0,1.0,2.0,8.0,25386.0,3371.0,14380.0,25645.0,4398.0
48,5.0,1.0,2.0,5.0,2489.0,17082.0,31931.0,14268.0,29629.0
49,9.0,1.0,2.0,8.0,4424.0,22857.0,8778.0,27723.0,14156.0
50,2.0,1.0,2.0,0.0,31191.0,20696.0,10457.0,474.0,23515.0
51,9.0,1.0,2.0,8.0,21601.0,13666.0,5987.0,31332.0,24165.0
52,5.0,1.0,2.0,4.0,13296.0,9201.0,5362.0,1779.0,31220.0
53,8.0,1.0,2.0,9.0,29823.0,29568.0,29569.0,29826.0,30339.0
54,3.0,1.0,2.0,3.0,5646.0,9231.0,13072.0,17169.0,21522.0
55,8.0,1.0,2.0,9.0,5784.0,11929.0,18330.0,24987.0,31900.0
56,5.0,1.0,2.0,4.0,12071.0,22056.0,32297.0,10026.0,20779.0
57,9.0,1.0,2.0,9.0,10422.0,24247.0,5560.0,19897.0,1722.0
58,3.0,1.0,2.0,2.0,837.0,18502.0,3655.0,21832.0,7497.0
59,10.0,1.0,2.0,11.0,16084.0,4821.0,26582.0,15831.0,5336.0
60,7.0,1.0,2.0,5.0,31582.0,22879.0,14432.0,6241.0,31074.0
61,9.0,1.0,2.0,8.0,11757.0,6894.0,2287.0,30704.0,26609.0
62,1.0,1.0,2.0,2.0,16764.0,15741.0,14974.0,14463.0,14208.0
63,9.0,1.0,2.0,9.0,13835.0,16652.0,19725.0,23054.0,26639.0
64,6.0,1.0,2.0,7.0,6293.0,11670.0,17303.0,23192.0,29337.0
65,9.0,1.0,2.0,10.0,1060.0,10277.0,19750.0,29479.0,6696.0
66,2.0,1.0,2.0,2.0,20659.0,948.0,14261.0,27830.0,8887.0
67,8.0,1.0,2.0,9.0,32322.0,16451.0,836.0,18245.0,3142.0
68,6.0,1.0,2.0,6.0,1740.0,21197.0,8142.0,28111.0,15568.0
69,8.0,1.0,2.0,9.0,11099.0,1628.0,25181.0,16222.0,7519.0
70,4.0,1.0,2.0,2.0,11749.0,4838.0,30951.0,24552.0,18409.0
71,9.0,1.0,2.0,9.0,18804.0,15733.0,12918.0,10359.0,8056.0
72,4.0,1.0,2.0,3.0,17923.0,18692.0,19717.0,20998.0,22535.0
73,9.0,1.0,2.0,10.0,22669.0,25998.0,29583.0,656.0,4753.0
74,3.0,1.0,2.0,1.0,19484.0,26653.0,1310.0,8991.0,16928.0
75,10.0,1.0,2.0,8.0,8363.0,19372.0,30637.0,9390.0,21167.0
76,7.0,1.0,2.0,7.0,17205.0,30774.0,11831.0,25912.0,7481.0
77,8.0,1.0,2.0,9.0,3780.0,21189.0,6086.0,24007.0,9416.0
78,5.0,1.0,2.0,3.0,15187.0,3668.0,25173.0,14166.0,3415.0
79,9.0,1.0,2.0,9.0,28125.0,19166.0,10463.0,2016.0,26593.0
80,5.0,1.0,2.0,3.0,4460.0,32109.0,27246.0,22639.0,18288.0
81,9.0,1.0,2.0,10.0,5627.0,4348.0,3325.0,2558.0,2047.0
82,2.0,1.0,2.0,0.0,22661.0,23942.0,25479.0,27272.0,29321.0
83,11.0,1.0,2.0,9.0,21524.0,26645.0,32022.0,4887.0,10776.0
84,7.0,1.0,2.0,5.0,12451.0,21412.0,30629.0,7334.0,17063.0
85,8.0,1.0,2.0,10.0,813.0,12334.0,24111.0,3376.0,15665.0
86,5.0,1.0,2.0,3.0,22204.0,4797.0,20414.0,3519.0,19648.0
87,8.0,1.0,2.0,9.0,2891.0,22092.0,8781.0,28494.0,15695.0
88,6.0,1.0,2.0,4.0,8410.0,31451.0,21980.0,12765.0,3806.0
89,10.0,1.0,2.0,8.0,5993.0,106.0,27243.0,21868.0,16749.0
90,2.0,1.0,2.0,0.0,9715.0,6388.0,3317.0,502.0,30711.0
91,10.0,1.0,2.0,8.0,4994.0,5507.0,6276.0,7301.0,8582.0
92,6.0,1.0,2.0,4.0,25105.0,29458.0,1299.0,6164.0,11285.0
93,9.0,1.0,2.0,10.0,155.0,7068.0,14237.0,21662.0,29343.0
94,2.0,1.0,2.0,3.0,805.0,10278.0,20007.0,29992.0,7465.0
95,7.0,1.0,2.0,9.0,24244.0,4789.0,18358.0,32183.0,13496.0
96,4.0,1.0,2.0,5.0,6979.0,24132.0,8773.0,26438.0,11591.0
97,9.0,1.0,2.0,8.0,14546.0,2771.0,24020.0,12757.0,1750.0
98,3.0,1.0,2.0,2.0,14177.0,6242.0,31331.0,23908.0,16741.0
99,9.0,1.0,2.0,10.0,5872.0,1777.0,30706.0,27123.0,23796.0
100,7.0,1.0,2.0,5.0,22399.0,22144.0,22145.0,22402.0,22915.0
101,8.0,1.0,2.0,10.0,16905.0,19210.0,21771.0,24588.0,27661.0
102,8.0,1.0,2.0,6.0,31128.0,4505.0,10906.0,17563.0,24476.0
103,12.0,1.0,2.0,9.0,4647.0,14632.0,24873.0,2602.0,13355.0
104,9.0,1.0,2.0,9.0,3249.0,15794.0,28595.0,8884.0,22197.0
105,7.0,1.0,2.0,7.0,7232.0,23617.0,7490.0,24387.0,8772.0
106,8.0,1.0,2.0,7.0,3279.0,23504.0,11217.0,31954.0,20179.0
107,7.0,1.0,2.0,7.0,5977.0,28762.0,19035.0,9564.0,349.0
108,8.0,1.0,2.0,7.0,32488.0,26345.0,20458.0,14827.0,9452.0
109,9.0,1.0,2.0,8.0,18295.0,15992.0,13945.0,12154.0,10619.0
110,8.0,1.0,2.0,7.0,25089.0,25346.0,25859.0,26628.0,27653.0
111,8.0,1.0,2.0,7.0,8592.0,12689.0,17042.0,21651.0,26516.0
112,8.0,1.0,2.0,8.0,16927.0,24864.0,289.0,8738.0,17443.0
113,8.0,1.0,2.0,8.0,27817.0,5546.0,16299.0,27308.0,5805.0
114,9.0,1.0,2.0,9.0,1080.0,15417.0,30010.0,12091.0,27196.0
115,6.0,1.0,2.0,7.0,31943.0,17352.0,3017.0,21706.0,7883.0
116,7.0,1.0,2.0,7.0,22102.0,11351.0,856.0,23385.0,13402.0
117,8.0,1.0,2.0,7.0,9952.0,1761.0,26594.0,18915.0,11492.0
118,8.0,1.0,2.0,7.0,30575.0,26224.0,22129.0,18290.0,14707.0
119,9.0,1.0,2.0,8.0,16889.0,15098.0,13563.0,12284.0,11261.0
120,8.0,1.0,2.0,7.0,2440.0,4489.0,6794.0,9355.0,12172.0
121,8.0,1.0,2.0,8.0,12823.0,18712.0,24857.0,31258.0,5147.0
122,8.0,1.0,2.0,8.0,15270.0,24999.0,2216.0,12457.0,22954.0
123,8.0,1.0,2.0,8.0,9781.0,23350.0,4407.0,18488.0,57.0
124,10.0,1.0,2.0,9.0,29124.0,13765.0,31430.0,16583.0,1992.0
125,7.0,1.0,2.0,7.0,3662.0,23631.0,11088.0,31569.0,19538.0
126,8.0,1.0,2.0,7.0,20701.0,11742.0,3039.0,27360.0,19169.0
127,7.0,1.0,2.0,6.0,29804.0,24685.0,19822.0,15215.0,10864.0
128,8.0,1.0,2.0,7.0,30971.0,29692.0,28669.0,27902.0,27391.0
129,8.0,1.0,2.0,8.0,15237.0,16518.0,18055.0,19848.0,21897.0
130,7.0,1.0,2.0,8.0,14100.0,19221.0,24598.0,30231.0,3352.0
131,8.0,1.0,2.0,6.0,5027.0,13988.0,23205.0,32678.0,9639.0
132,8.0,1.0,2.0,7.0,26157.0,4910.0,16687.0,28720.0,8241.0
133,7.0,1.0,2.0,8.0,28609.0,12482.0,29379.0,13764.0,31173.0
134,10.0,1.0,2.0,9.0,28235.0,14668.0,1357.0,21070.0,8271.0
135,7.0,1.0,2.0,7.0,986.0,24027.0,14556.0,5341.0,29150.0
136,7.0,1.0,2.0,7.0,31337.0,25450.0,19819.0,14444.0,9325.0
137,7.0,1.0,2.0,7.0,2291.0,31732.0,28661.0,25846.0,23287.0
138,7.0,1.0,2.0,6.0,30338.0,30851.0,31620.0,32645.0,1158.0
139,9.0,1.0,2.0,8.0,17681.0,22034.0,26643.0,31508.0,3861.0
140,7.0,1.0,2.0,7.0,25499.0,32412.0,6813.0,14238.0,21919.0
141,6.0,1.0,2.0,8.0,10538.0,21291.0,32300.0,10797.0,22318.0
142,8.0,1.0,2.0,8.0,20409.0,2234.0,17083.0,32188.0,14781.0
143,9.0,1.0,2.0,8.0,32323.0,16708.0,1349.0,19014.0,4167.0
144,8.0,1.0,2.0,9.0,7122.0,28115.0,16596.0,5333.0,27094.0
145,8.0,1.0,2.0,7.0,6753.0,31586.0,23907.0,16484.0,9317.0
146,8.0,1.0,2.0,7.0,22763.0,17388.0,12269.0,7406.0,2799.0
147,7.0,1.0,2.0,7.0,20090.0,18555.0,17276.0,16253.0,15486.0
148,8.0,1.0,2.0,7.0,9481.0,11786.0,14347.0,17164.0,20237.0
149,8.0,1.0,2.0,8.0,29587.0,1684.0,6805.0,12182.0,17815.0
150,7.0,1.0,2.0,7.0,16674.0,25379.0,1572.0,10789.0,20262.0
151,8.0,1.0,2.0,7.0,28593.0,8370.0,21171.0,1460.0,14773.0
152,8.0,1.0,2.0,8.0,32576.0,16193.0,66.0,16963.0,1348.0
153,8.0,1.0,2.0,8.0,29642.0,15819.0,2252.0,21709.0,8654.0
154,9.0,1.0,2.0,9.0,31321.0,21338.0,11611.0,2140.0,25693.0
155,6.0,1.0,2.0,6.0,25064.0,18921.0,13034.0,7403.0,2028.0
156,7.0,1.0,2.0,7.0,26226.0,22643.0,19316.0,16245.0,13430.0
157,8.0,1.0,2.0,7.0,17665.0,17922.0,18435.0,19204.0,20229.0
158,7.0,1.0,2.0,7.0,1168.0,5265.0,9618.0,14227.0,19092.0
159,8.0,1.0,2.0,8.0,6426.0,13083.0,19996.0,27165.0,1822.0
160,7.0,1.0,2.0,6.0,20393.0,30890.0,8875.0,19884.0,31149.0
161,8.0,1.0,2.0,7.0,26424.0,7993.0,22586.0,4667.0,19772.0
162,9.0,1.0,2.0,7.0,24519.0,9928.0,28361.0,14282.0,459.0
163,8.0,1.0,2.0,8.0,14678.0,3927.0,26200.0,15961.0,5978.0
164,9.0,1.0,2.0,9.0,29669.0,22758.0,16103.0,9704.0,3561.0
165,7.0,1.0,2.0,7.0,23151.0,18800.0,14705.0,10866.0,7283.0
166,8.0,1.0,2.0,8.0,3070.0,2559.0,2304.0,2305.0,2562.0
167,8.0,1.0,2.0,7.0,7821.0,11150.0,14735.0,18576.0,22673.0
168,7.0,1.0,2.0,7.0,5399.0,11288.0,17433.0,23834.0,30491.0
169,9.0,1.0,2.0,8.0,7846.0,17575.0,27560.0,5033.0,15530.0
170,7.0,1.0,2.0,8.0,2357.0,15926.0,29751.0,11064.0,25401.0
171,8.0,1.0,2.0,7.0,4031.0,20160.0,3777.0,20418.0,4547.0
172,7.0,1.0,2.0,8.0,29006.0,16207.0,3664.0,24145.0,12114.0
173,8.0,1.0,2.0,8.0,13277.0,4318.0,28383.0,19936.0,11745.0
174,10.0,1.0,2.0,10.0,22380.0,17261.0,12398.0,7791.0,3440.0
175,8.0,1.0,2.0,6.0,1014.0,31223.0,28920.0,26873.0,25082.0
176,7.0,1.0,2.0,7.0,7813.0,9094.0,10631.0,12424.0,14473.0
177,8.0,1.0,2.0,8.0,6676.0,11797.0,17174.0,22807.0,28696.0
178,7.0,1.0,2.0,7.0,30371.0,6564.0,15781.0,25254.0,2215.0
179,8.0,1.0,2.0,8.0,13362.0,26163.0,6452.0,19765.0,566.0
180,8.0,1.0,2.0,7.0,7356.0,22717.0,5566.0,21439.0,4800.0
181,8.0,1.0,2.0,6.0,20811.0,7244.0,26701.0,13646.0,847.0
182,8.0,1.0,2.0,8.0,13269.0,2262.0,24279.0,13784.0,3545.0
183,8.0,1.0,2.0,8.0,24420.0,17253.0,10342.0,3687.0,30056.0
184,9.0,1.0,2.0,9.0,27635.0,24308.0,21237.0,18422.0,15863.0
185,7.0,1.0,2.0,8.0,22914.0,23427.0,24196.0,25221.0,26502.0
186,8.0,1.0,2.0,7.0,10257.0,14610.0,19219.0,24084.0,29205.0
187,8.0,1.0,2.0,7.0,22432.0,30625.0,6306.0,15011.0,23972.0
188,7.0,1.0,2.0,7.0,26671.0,5936.0,18225.0,30770.0,10803.0
189,9.0,1.0,2.0,7.0,12985.0,27578.0,9659.0,24764.0,7357.0
190,7.0,1.0,2.0,8.0,14920.0,585.0,19274.0,5451.0,24652.0
191,8.0,1.0,2.0,7.0,8919.0,31192.0,20953.0,10970.0,1243.0
192,8.0,1.0,2.0,7.0,27750.0,21095.0,14696.0,8553.0,2666.0
193,8.0,1.0,2.0,8.0,23792.0,19697.0,15858.0,12275.0,8948.0
194,10.0,1.0,2.0,9.0,7551.0,7296.0,7297.0,7554.0,8067.0
195,6.0,1.0,2.0,7.0,16142.0,19727.0,23568.0,27665.0,32018.0
196,7.0,1.0,2.0,7.0,16280.0,22425.0,28826.0,2715.0,9628.0
197,7.0,1.0,2.0,6.0,22567.0,32552.0,10025.0,20522.0,31275.0
198,7.0,1.0,2.0,7.0,20918.0,1975.0,16056.0,30393.0,12218.0
199,9.0,1.0,2.0,8.0,11333.0,28998.0,14151.0,32328.0,17993.0
200,8.0,1.0,2.0,7.0,21199.0,8656.0,29137.0,17106.0,5331.0
201,7.0,1.0,2.0,8.0,9310.0,607.0,24928.0,16737.0,8802.0
202,7.0,1.0,2.0,11.0,22253.0,17390.0,12783.0,8432.0,4337.0
203,9.0,1.0,2.0,4.0,27260.0,26237.0,25470.0,24959.0,24704.0
204,13.0,1.0,2.0,6.0,24331.0,27148.0,30221.0,782.0,4367.0
205,16.0,1.0,2.0,12.0,13466.0,20123.0,27036.0,1437.0,8862.0
206,17.0,1.0,2.0,14.0,27433.0,5162.0,15915.0,26924.0,5421.0
207,19.0,1.0,2.0,15.0,31155.0,11444.0,24757.0,5558.0,19383.0
208,10.0,1.0,2.0,7.0,10050.0,26947.0,11332.0,28741.0,13638.0
209,12.0,1.0,2.0,8.0,13777.0,1746.0,22739.0,11220.0,32725.0
210,11.0,1.0,2.0,9.0,21595.0,12124.0,2909.0,26718.0,18015.0
211,11.0,1.0,2.0,9.0,23018.0,17387.0,12012.0,6893.0,2030.0
212,15.0,1.0,2.0,12.0,16505.0,14714.0,13179.0,11900.0,10877.0
213,16.0,1.0,2.0,12.0,2056.0,4105.0,6410.0,8971.0,11788.0
214,17.0,1.0,2.0,12.0,12439.0,18328.0,24473.0,30874.0,4763.0
215,16.0,1.0,2.0,14.0,2849.0,11298.0,20003.0,28964.0,5413.0
216,8.0,1.0,2.0,5.0,10928.0,23217.0,2994.0,15795.0,28852.0
217,10.0,1.0,2.0,8.0,11071.0,27200.0,10817.0,27458.0,11587.0
218,12.0,1.0,2.0,8.0,3278.0,23247.0,10704.0,31185.0,19154.0
219,13.0,1.0,2.0,9.0,3416.0,25945.0,15962.0,6235.0,29532.0
220,14.0,1.0,2.0,10.0,26087.0,19688.0,13545.0,7658.0,2027.0
221,12.0,1.0,2.0,11.0,8054.0,5495.0,3192.0,1145.0,32122.0
222,16.0,1.0,2.0,13.0,12288.0,12289.0,12546.0,13059.0,13828.0
223,19.0,1.0,2.0,16.0,24719.0,28560.0,32657.0,4242.0,8851.0
224,10.0,1.0,2.0,6.0,29214.0,4127.0,12064.0,20257.0,28706.0
225,11.0,1.0,2.0,8.0,25773.0,4526.0,16303.0,28336.0,7857.0
226,10.0,1.0,2.0,7.0,14396.0,29757.0,12606.0,28479.0,11840.0
227,12.0,1.0,2.0,11.0,1222.0,19143.0,4552.0,22985.0,8906.0
228,15.0,1.0,2.0,11.0,20309.0,9302.0,31319.0,20824.0,10585.0
229,14.0,1.0,2.0,11.0,31460.0,24293.0,17382.0,10727.0,4328.0
230,16.0,1.0,2.0,12.0,1907.0,31348.0,28277.0,25462.0,22903.0
231,15.0,1.0,2.0,13.0,29954.0,30467.0,31236.0,32261.0,774.0
232,10.0,1.0,2.0,7.0,17297.0,21650.0,26259.0,31124.0,3477.0
233,12.0,1.0,2.0,8.0,29472.0,4897.0,13346.0,22051.0,31012.0
234,12.0,1.0,2.0,7.0,10154.0,20907.0,31916.0,10413.0,21934.0
235,13.0,1.0,2.0,9.0,20025.0,1850.0,16699.0,31804.0,14397.0
236,12.0,1.0,2.0,9.0,21960.0,7625.0,26314.0,12491.0,31692.0
237,16.0,1.0,2.0,12.0,6738.0,27731.0,16212.0,4949.0,26710.0
238,17.0,1.0,2.0,14.0,6369.0,31202.0,23523.0,16100.0,8933.0
239,17.0,1.0,2.0,14.0,30832.0,26737.0,22898.0,19315.0,15988.0
240,10.0,1.0,2.0,6.0,14591.0,14336.0,14337.0,14594.0,15107.0
241,9.0,1.0,2.0,6.0,9097.0,11402.0,13963.0,16780.0,19853.0
242,11.0,1.0,2.0,9.0,23320.0,29465.0,3098.0,9755.0,16668.0
243,13.0,1.0,2.0,11.0,29607.0,6824.0,17065.0,27562.0,5547.0
244,14.0,1.0,2.0,10.0,28209.0,7986.0,20787.0,1076.0,14389.0
245,15.0,1.0,2.0,12.0,32192.0,15809.0,32450.0,16579.0,964.0
246,15.0,1.0,2.0,11.0,28239.0,15696.0,3409.0,24146.0,12371.0
247,16.0,1.0,2.0,15.0,16350.0,7647.0,31968.0,23777.0,15842.0
248,10.0,1.0,2.0,7.0,24680.0,18537.0,12650.0,7019.0,1644.0
249,11.0,1.0,2.0,6.0,10487.0,8184.0,6137.0,4346.0,2811.0
250,12.0,1.0,2.0,9.0,21126.0,22663.0,24456.0,26505.0,28810.0
251,11.0,1.0,2.0,8.0,784.0,4881.0,9234.0,13843.0,18708.0
252,15.0,1.0,2.0,11.0,9119.0,17056.0,25249.0,930.0,9635.0
253,17.0,1.0,2.0,12.0,9518.0,21295.0,560.0,12849.0,25394.0
254,14.0,1.0,2.0,13.0,1981.0,17598.0,703.0,16832.0,449.0
255,18.0,1.0,2.0,14.0,24135.0,9544.0,27977.0,13898.0,75.0
256,9.0,1.0,2.0,5.0,14294.0,3543.0,25816.0,15577.0,5594.0
257,11.0,1.0,2.0,8.0,29285.0,22374.0,15719.0,9320.0,3177.0
258,12.0,1.0,2.0,9.0,3572.0,501.0,30454.0,27895.0,25592.0
259,12.0,1.0,2.0,9.0,2691.0,3460.0,4485.0,5766.0,7303.0
260,13.0,1.0,2.0,11.0,26642.0,31251.0,3348.0,8469.0,13846.0
261,12.0,1.0,2.0,11.0,4252.0,11421.0,18846.0,26527.0,1696.0
262,15.0,1.0,2.0,13.0,25899.0,4140.0,15405.0,26926.0,5935.0
263,17.0,1.0,2.0,15.0,6842.0,21691.0,4028.0,19389.0,2238.0
264,12.0,1.0,2.0,6.0,12617.0,31306.0,17483.0,3916.0,23373.0
265,10.0,1.0,2.0,9.0,10456.0,217.0,23002.0,13275.0,3804.0
266,11.0,1.0,2.0,7.0,3426.0,28515.0,21092.0,13925.0,7014.0
267,14.0,1.0,2.0,11.0,31729.0,27890.0,24307.0,20980.0,17909.0
268,14.0,1.0,2.0,11.0,19328.0,19329.0,19586.0,20099.0,20868.0
269,15.0,1.0,2.0,11.0,16394.0,18955.0,21772.0,24845.0,28174.0
270,16.0,1.0,2.0,12.0,1689.0,8090.0,14747.0,21660.0,28829.0
271,16.0,1.0,2.0,14.0,29987.0,6180.0,15397.0,24870.0,1831.0
272,10.0,1.0,2.0,7.0,12978.0,25779.0,6068.0,19381.0,182.0
273,11.0,1.0,2.0,8.0,20801.0,4674.0,21571.0,5956.0,23365.0
274,11.0,1.0,2.0,8.0,20427.0,6860.0,26317.0,13262.0,463.0
275,13.0,1.0,2.0,10.0,25946.0,16219.0,6748.0,30301.0,21342.0
276,13.0,1.0,2.0,10.0,23529.0,17642.0,12011.0,6636.0,1517.0
277,16.0,1.0,2.0,11.0,27251.0,23924.0,20853.0,18038.0,15479.0
278,18.0,1.0,2.0,13.0,22530.0,23043.0,23812.0,24837.0,26118.0
279,18.0,1.0,2.0,14.0,9873.0,14226.0,18835.0,23700.0,28821.0
280,10.0,1.0,2.0,7.0,22048.0,30241.0,5922.0,14627.0,23588.0
281,10.0,1.0,2.0,6.0,26287.0,5552.0,17841.0,30386.0,10419.0
282,13.0,1.0,2.0,9.0,12601.0,27194.0,9275.0,24380.0,6973.0
283,14.0,1.0,2.0,9.0,24515.0,8900.0,26309.0,11206.0,29127.0
284,12.0,1.0,2.0,10.0,32082.0,20307.0,8788.0,30293.0,19286.0
285,14.0,1.0,2.0,12.0,31713.0,23778.0,16099.0,8676.0,1509.0
286,15.0,1.0,2.0,12.0,23408.0,19313.0,15474.0,11891.0,8564.0
287,17.0,1.0,2.0,14.0,7167.0,6912.0,6913.0,7170.0,7683.0
288,10.0,1.0,2.0,6.0,1673.0,3978.0,6539.0,9356.0,12429.0
289,11.0,1.0,2.0,7.0,15896.0,22041.0,28442.0,2331.0,9244.0
290,11.0,1.0,2.0,9.0,22183.0,32168.0,9641.0,20138.0,30891.0
291,11.0,1.0,2.0,8.0,20785.0,562.0,13363.0,26420.0,6965.0
292,14.0,1.0,2.0,11.0,24768.0,8385.0,25026.0,9155.0,26308.0
293,15.0,1.0,2.0,12.0,20815.0,8272.0,28753.0,16722.0,4947.0
294,16.0,1.0,2.0,13.0,23513.0,13530.0,3803.0,27100.0,17885.0
295,17.0,1.0,2.0,14.0,17256.0,11113.0,5226.0,32363.0,26988.0
296,9.0,1.0,2.0,5.0,3063.0,760.0,31481.0,29690.0,28155.0
297,12.0,1.0,2.0,8.0,13702.0,15239.0,17032.0,19081.0,21386.0
298,13.0,1.0,2.0,9.0,26128.0,30225.0,1810.0,6419.0,11284.0
299,12.0,1.0,2.0,9.0,1695.0,9632.0,17825.0,26274.0,2211.0
300,14.0,1.0,2.0,11.0,12585.0,23082.0,1067.0,12076.0,23341.0
301,13.0,1.0,2.0,10.0,18616.0,185.0,14778.0,29627.0,11964.0
302,16.0,1.0,2.0,14.0,16711.0,2120.0,20553.0,6474.0,25419.0
303,22.0,1.0,2.0,32.0,6870.0,28887.0,18392.0,8153.0,30938.0
304,17.0,1.0,2.0,35.0,21861.0,14950.0,8295.0,1896.0,28521.0
305,-18.0,1.0,2.0,0.0,15343.0,10992.0,6897.0,3058.0,32243.0
306,-16.0,1.0,2.0,-3.0,28030.0,27519.0,27264.0,27265.0,27522.0
307,-12.0,1.0,2.0,-8.0,19976.0,22025.0,24330.0,26891.0,29708.0
308,-11.0,1.0,2.0,-9.0,30359.0,3480.0,9625.0,16026.0,22683.0
309,-11.0,1.0,2.0,-10.0,38.0,9767.0,19752.0,29993.0,7722.0
310,-12.0,1.0,2.0,-10.0,27317.0,8118.0,21943.0,3256.0,17593.0
311,-11.0,1.0,2.0,-8.0,28991.0,12352.0,28737.0,12610.0,29507.0
312,-14.0,1.0,2.0,-15.0,21198.0,8399.0,28624.0,16337.0,4306.0
313,-13.0,1.0,2.0,-14.0,5469.0,29278.0,20575.0,12128.0,3937.0
314,-13.0,1.0,2.0,-12.0,14572.0,9453.0,4590.0,32751.0,28400.0
315,-13.0,1.0,2.0,-12.0,15739.0,14460.0,13437.0,12670.0,12159.0
316,-13.0,1.0,2.0,-11.0,5.0,1286.0,2823.0,4616.0,6665.0
317,-12.0,1.0,2.0,-10.0,31636.0,3989.0,9366.0,14999.0,20888.0
318,-10.0,1.0,2.0,-8.0,22563.0,31524.0,7973.0,17446.0,27175.0
319,-11.0,1.0,2.0,-9.0,5554.0,18355.0,31412.0,11957.0,25526.0
320,-14.0,1.0,2.0,-15.0,32316.0,14909.0,30526.0,13631.0,29760.0
321,-14.0,1.0,2.0,-14.0,13003.0,32204.0,18893.0,5838.0,25807.0
322,-13.0,1.0,2.0,-13.0,18522.0,8795.0,32092.0,22877.0,13918.0
323,-12.0,1.0,2.0,-11.0,16105.0,10218.0,4587.0,31980.0,26861.0
